=================================================================
  FUSSI Image Optimizer
  Source : C:\Users\mehme\Desktop\Stores\cozastore-master\images
  Output : C:\Users\mehme\Desktop\Stores\cozastore-master\images\webp
  Quality: 85  |  Max width: 2000px
  [OK]  images\br\Gemini_Generated_Image_nspve3nspve3nspv.png -> images\webp\br\product-br-037.webp  55.8% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_o1hqpho1hqpho1hq.png -> images\webp\br\product-br-038.webp  53.6% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_oyjul8oyjul8oyju.png -> images\webp\br\product-br-039.webp  56.5% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_q9ovooq9ovooq9ov.png -> images\webp\br\product-br-040.webp  60.2% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_qv65wuqv65wuqv65.png -> images\webp\br\product-br-041.webp  66.0% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_sarcklsarcklsarc.png -> images\webp\br\product-br-042.webp  56.8% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_t4a3byt4a3byt4a3.png -> images\webp\br\product-br-043.webp  59.9% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_ulyahgulyahgulya.png -> images\webp\br\product-br-044.webp  21.1% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_vmyem3vmyem3vmye.png -> images\webp\br\product-br-045.webp  54.8% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_xzvr2lxzvr2lxzvr.png -> images\webp\br\product-br-046.webp  58.1% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_y65dlwy65dlwy65d (1).png -> images\webp\br\product-br-047.webp  57.0% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_y65dlwy65dlwy65d.png -> images\webp\br\product-br-048.webp  56.5% LARGER (source was already small)
  [OK]  images\de\07556799.jpg -> images\webp\de\07556799.webp  79.9% LARGER (source was already small)
  [OK]  images\de\1 (6).png -> images\webp\de\1-(6).webp  50.8% LARGER (source was already small)
  [OK]  images\de\10 (5).png -> images\webp\de\10-(5).webp  50.6% LARGER (source was already small)
  [OK]  images\de\11 (5).png -> images\webp\de\11-(5).webp  51.6% LARGER (source was already small)
  [OK]  images\de\12 (5).png -> images\webp\de\12-(5).webp  53.1% LARGER (source was already small)
  [OK]  images\de\13 (6).png -> images\webp\de\13-(6).webp  53.1% LARGER (source was already small)
  [OK]  images\de\13 (7).png -> images\webp\de\13-(7).webp  52.3% LARGER (source was already small)
  [OK]  images\de\14 (5).png -> images\webp\de\14-(5).webp  56.3% LARGER (source was already small)
  [OK]  images\de\15 (12).png -> images\webp\de\15-(12).webp  52.2% LARGER (source was already small)
  [OK]  images\de\16 (7).png -> images\webp\de\16-(7).webp  52.7% LARGER (source was already small)
  [OK]  images\de\17 (6).png -> images\webp\de\17-(6).webp  52.6% LARGER (source was already small)
  [OK]  images\de\18 (8).png -> images\webp\de\18-(8).webp  51.7% LARGER (source was already small)
  [OK]  images\de\19 (6).png -> images\webp\de\19-(6).webp  55.5% LARGER (source was already small)
  [OK]  images\de\2 (6).png -> images\webp\de\2-(6).webp  53.5% LARGER (source was already small)
  [OK]  images\de\20 (5).png -> images\webp\de\20-(5).webp  49.9% LARGER (source was already small)
  [OK]  images\de\21 (5).png -> images\webp\de\21-(5).webp  49.7% LARGER (source was already small)
  [OK]  images\de\3 (6).png -> images\webp\de\3-(6).webp  51.6% LARGER (source was already small)
  [OK]  images\de\33.png -> images\webp\de\33.webp  59.9% LARGER (source was already small)
  [OK]  images\de\34.png -> images\webp\de\34.webp  55.7% LARGER (source was already small)
  [OK]  images\de\35 (1).png -> images\webp\de\35-(1).webp  59.8% LARGER (source was already small)
  [OK]  images\de\36.png -> images\webp\de\36.webp  61.6% LARGER (source was already small)
